41
2	464	59	444		2	518	64	492
59	444	128	435		64	492	107	457
128	435	124	470		107	457	142	529
124	470	197	513		142	529	199	533
197	513	277	483		199	533	277	513
277	483	289	442		277	513	320	441
289	442	354	453		320	441	359	482
354	453	399	472		359	482	399	501
91	293	107	377		87	292	95	383
107	377	167	447		96	384	152	456
168	449	228	454		152	456	225	462
228	454	298	390		225	463	307	401
298	390	319	286		307	401	321	287
319	286	323	215		322	288	359	223
323	215	308	121		359	223	315	115
308	121	259	73		315	115	267	61
259	73	179	45		266	61	175	43
177	45	111	71		175	43	110	72
111	71	88	117		110	72	87	116
88	119	79	198		87	116	76	199
79	198	91	291		76	199	88	293
102	240	122	226		114	244	137	231
122	226	173	233		137	231	184	244
234	233	277	224		229	241	270	233
278	224	303	238		270	233	296	252
118	261	144	247		124	265	154	253
144	247	170	262		154	253	180	268
170	262	146	268		180	268	156	268
146	269	118	262		156	268	126	264
239	260	263	247		233	268	261	255
263	247	287	259		261	255	285	271
287	259	267	268		285	271	262	271
267	268	239	261		261	271	234	269
205	243	207	316		205	242	204	316
177	327	203	332		174	326	204	332
205	333	234	326		204	332	234	328
160	371	203	361		156	380	196	361
203	361	251	371		196	361	245	382
251	371	223	389		245	382	218	392
223	389	193	389		217	393	182	392
193	389	159	372		182	392	157	380
