19
21	267	111	211	112	362	171	264
111	211	50	221	171	264	106	213
50	218	53	146	106	213	40	215
54	146	134	126	40	215	69	138
134	126	249	119	69	138	137	149
249	119	442	205	137	148	240	113
442	206	486	351	240	113	378	138
486	352	247	367	378	138	361	235
247	367	472	312	361	235	427	343
472	312	369	211	427	343	366	369
369	211	409	286	366	369	391	335
409	286	323	254	391	335	312	267
323	254	289	273	312	267	328	336
289	273	282	222	328	338	253	241
282	222	236	217	253	241	236	239
234	217	206	263	236	239	246	359
204	265	211	222	246	359	211	348
211	221	143	219	211	348	206	267
143	219	19	271	206	267	111	361
