27
59	445	181	419	8	309	199	293
181	419	181	396	199	293	120	417
183	395	148	273	119	418	237	359
147	274	147	92	237	359	142	193
148	92	244	44	142	193	252	49
244	44	353	107	252	49	364	113
353	108	364	238	364	116	396	226
364	238	339	386	396	226	319	331
338	388	439	452	319	332	424	487
148	308	176	384	150	207	192	279
176	382	241	433	192	279	284	343
241	434	312	413	284	343	358	266
312	413	364	299	358	266	393	157
172	247	197	235	173	187	214	148
197	235	220	252	216	148	264	203
220	252	197	258	264	203	221	225
197	258	171	245	221	225	177	187
288	248	312	235	319	203	358	157
312	235	336	248	358	157	392	192
336	248	312	255	392	192	366	227
312	256	289	249	366	227	321	207
252	227	258	303	299	206	296	243
228	304	277	307	268	253	322	253
216	354	257	348	273	303	290	299
257	348	300	357	293	298	313	302
300	357	253	375	313	302	294	308
253	375	216	355	294	308	273	306
