27
52	398	83	389	59	445	181	419
84	388	63	258	181	419	181	396
63	258	88	141	183	395	148	273
89	141	193	32	147	274	147	92
193	32	324	47	148	92	244	44
324	47	404	149	244	44	353	107
404	149	411	256	353	108	364	238
412	256	373	362	364	238	339	386
373	362	448	408	338	388	439	452
83	393	114	447	148	308	176	384
113	449	222	455	176	382	241	433
222	455	318	408	241	434	312	413
318	408	359	262	312	413	364	299
101	175	128	163	172	247	197	235
128	163	159	183	197	235	220	252
159	183	129	189	220	252	197	258
129	189	103	178	197	258	171	245
210	181	238	175	288	248	312	235
238	175	271	186	312	235	336	248
271	188	240	204	336	248	312	255
240	204	207	184	312	256	289	249
177	177	150	269	252	227	258	303
119	266	191	274	228	304	277	307
93	367	139	371	216	354	257	348
139	371	196	388	257	348	300	357
196	388	134	401	300	357	253	375
134	401	89	372	253	375	216	355
