27
24	364	97	338	52	398	83	389
97	338	64	245	84	388	63	258
64	245	72	131	63	258	88	141
71	136	189	28	89	141	193	32
189	28	354	42	193	32	324	47
356	43	437	108	324	47	404	149
437	108	410	261	404	149	411	256
410	261	401	352	412	256	373	362
400	355	476	405	373	362	448	408
119	234	148	394	83	393	114	447
148	394	233	462	113	449	222	455
233	462	334	452	222	455	318	408
334	452	406	355	318	408	359	262
192	195	222	182	101	175	128	163
222	182	240	196	128	163	159	183
240	196	221	203	159	183	129	189
221	203	191	196	129	189	103	178
303	194	332	181	210	181	238	175
332	181	354	192	238	175	271	186
354	192	334	202	271	188	240	204
334	202	303	196	240	204	207	184
273	165	274	273	177	177	150	269
241	279	304	279	119	266	191	274
197	346	279	343	93	367	139	371
279	343	341	345	139	371	196	388
341	345	272	399	196	388	134	401
273	401	199	351	134	401	89	372
