27
113	362	166	266	3	433	146	278
166	266	106	213	146	278	106	236
106	213	49	221	106	236	121	191
49	221	41	195	121	191	189	117
41	195	71	134	189	117	300	142
71	134	140	148	302	144	353	185
137	147	244	114	353	187	369	307
244	114	371	129	370	307	454	353
371	131	366	238	456	353	498	408
367	239	419	299	148	282	230	378
419	299	422	348	230	378	363	391
422	348	370	373	361	391	368	308
370	373	393	341	248	222	264	206
393	341	310	259	264	206	284	214
310	259	331	331	284	214	271	223
331	333	281	344	271	223	249	224
281	344	308	329	316	207	330	196
308	329	254	243	330	196	341	204
254	243	237	237	341	204	330	217
237	237	248	351	330	217	318	207
248	351	204	373	300	191	326	258
204	373	219	333	307	266	328	274
218	336	204	264	328	274	342	261
204	266	166	351	287	318	339	306
164	354	110	364	338	306	369	305
77	364	112	404	369	305	341	319
450	356	417	394	341	319	288	321
