27
3	433	146	278	24	364	97	338
146	278	106	236	97	338	64	245
106	236	121	191	64	245	72	131
121	191	189	117	71	136	189	28
189	117	300	142	189	28	354	42
302	144	353	185	356	43	437	108
353	187	369	307	437	108	410	261
370	307	454	353	410	261	401	352
456	353	498	408	400	355	476	405
148	282	230	378	119	234	148	394
230	378	363	391	148	394	233	462
361	391	368	308	233	462	334	452
248	222	264	206	334	452	406	355
264	206	284	214	192	195	222	182
284	214	271	223	222	182	240	196
271	223	249	224	240	196	221	203
316	207	330	196	221	203	191	196
330	196	341	204	303	194	332	181
341	204	330	217	332	181	354	192
330	217	318	207	354	192	334	202
300	191	326	258	334	202	303	196
307	266	328	274	273	165	274	273
328	274	342	261	241	279	304	279
287	318	339	306	197	346	279	343
338	306	369	305	279	343	341	345
369	305	341	319	341	345	272	399
341	319	288	321	273	401	199	351
